"Id","ActivityDate","TotalSteps","TotalMinutesAsleep","TotalTimeInBed"
1503960366,"4/12/2016",13162,327,346
1503960366,"4/13/2016",10735,384,407
1503960366,"4/15/2016",9762,412,442
1503960366,"4/16/2016",12669,340,367
1503960366,"4/17/2016",9705,700,712
1503960366,"4/19/2016",15506,304,320
1503960366,"4/20/2016",10544,360,377
1503960366,"4/21/2016",9819,325,364
1503960366,"4/23/2016",14371,361,384
1503960366,"4/24/2016",10039,430,449
1503960366,"4/25/2016",15355,277,323
1503960366,"4/26/2016",13755,245,274
1503960366,"4/28/2016",13154,366,393
1503960366,"4/29/2016",11181,341,354
1503960366,"4/30/2016",14673,404,425
1503960366,"5/1/2016",10602,369,396
1503960366,"5/2/2016",14727,277,309
1503960366,"5/3/2016",15103,273,296
1503960366,"5/5/2016",14070,247,264
1503960366,"5/6/2016",12159,334,367
1503960366,"5/7/2016",11992,331,349
1503960366,"5/8/2016",10060,594,611
1503960366,"5/9/2016",12022,338,342
1503960366,"5/10/2016",12207,383,403
1503960366,"5/11/2016",12770,285,306
1644430081,"4/29/2016",3176,119,127
1644430081,"4/30/2016",18213,124,142
1644430081,"5/2/2016",3758,796,961
1644430081,"5/8/2016",6724,137,154
1844505072,"4/15/2016",3844,644,961
1844505072,"4/30/2016",4014,722,961
1844505072,"5/1/2016",2573,590,961
1927972279,"4/12/2016",678,750,775
1927972279,"4/13/2016",356,398,422
1927972279,"4/15/2016",980,475,499
1927972279,"4/26/2016",3761,296,315
1927972279,"4/28/2016",1675,166,178
2026352035,"4/12/2016",4414,503,546
2026352035,"4/13/2016",4993,531,565
2026352035,"4/14/2016",3335,545,568
2026352035,"4/15/2016",3821,523,573
2026352035,"4/16/2016",2547,524,567
2026352035,"4/17/2016",838,437,498
2026352035,"4/19/2016",2424,498,540
2026352035,"4/20/2016",7222,461,510
2026352035,"4/21/2016",2467,477,514
2026352035,"4/22/2016",2915,520,545
2026352035,"4/23/2016",12357,522,554
2026352035,"4/24/2016",3490,555,591
2026352035,"4/25/2016",6017,506,531
2026352035,"4/27/2016",6088,508,545
2026352035,"4/28/2016",6375,513,545
2026352035,"4/29/2016",7604,490,510
2026352035,"4/30/2016",4729,573,607
2026352035,"5/1/2016",3609,527,546
2026352035,"5/2/2016",7018,511,543
2026352035,"5/4/2016",6564,538,560
2026352035,"5/5/2016",12167,468,485
2026352035,"5/6/2016",8198,524,548
2026352035,"5/7/2016",4193,511,521
2026352035,"5/8/2016",5528,541,568
2026352035,"5/9/2016",10685,531,556
2026352035,"5/10/2016",254,357,380
2026352035,"5/11/2016",8580,523,553
2026352035,"5/12/2016",8891,456,485
2320127002,"4/23/2016",5079,61,69
2347167796,"4/13/2016",10352,467,531
2347167796,"4/14/2016",10129,445,489
2347167796,"4/15/2016",10465,452,504
2347167796,"4/17/2016",5472,556,602
2347167796,"4/18/2016",8247,500,557
2347167796,"4/19/2016",6711,465,514
2347167796,"4/21/2016",10080,460,484
2347167796,"4/22/2016",7804,405,461
2347167796,"4/23/2016",16901,374,386
2347167796,"4/24/2016",9471,442,459
2347167796,"4/25/2016",9482,433,471
2347167796,"4/26/2016",5980,436,490
2347167796,"4/27/2016",11423,448,499
2347167796,"4/28/2016",5439,408,450
2347167796,"4/29/2016",42,411,473
3977333714,"4/12/2016",8856,274,469
3977333714,"4/13/2016",10035,295,456
3977333714,"4/14/2016",7641,291,397
3977333714,"4/15/2016",9010,424,556
3977333714,"4/16/2016",13459,283,510
3977333714,"4/17/2016",10415,381,566
3977333714,"4/18/2016",11663,412,522
3977333714,"4/19/2016",12414,219,395
3977333714,"4/20/2016",11658,152,305
3977333714,"4/21/2016",6093,332,512
3977333714,"4/22/2016",8911,355,476
3977333714,"4/23/2016",12058,235,372
3977333714,"4/24/2016",14112,310,526
3977333714,"4/25/2016",11177,262,467
3977333714,"4/26/2016",11388,250,371
3977333714,"4/27/2016",7193,349,540
3977333714,"4/28/2016",7114,261,423
3977333714,"4/29/2016",10645,333,478
3977333714,"4/30/2016",13238,237,382
3977333714,"5/1/2016",10414,383,626
3977333714,"5/2/2016",16520,230,384
3977333714,"5/3/2016",14335,292,500
3977333714,"5/4/2016",13559,213,336
3977333714,"5/5/2016",12312,318,480
3977333714,"5/6/2016",11677,323,512
3977333714,"5/7/2016",11550,237,443
3977333714,"5/8/2016",13585,259,456
3977333714,"5/10/2016",13072,312,452
4020332650,"4/12/2016",8539,501,541
4020332650,"4/16/2016",1982,77,77
4020332650,"5/3/2016",4496,322,332
4020332650,"5/4/2016",10252,478,536
4020332650,"5/5/2016",11728,226,248
4020332650,"5/6/2016",4369,385,408
4020332650,"5/8/2016",5862,364,402
4020332650,"5/10/2016",5546,442,494
4319703577,"4/14/2016",10210,535,557
4319703577,"4/15/2016",5664,465,491
4319703577,"4/16/2016",4744,506,522
4319703577,"4/18/2016",2276,515,551
4319703577,"4/19/2016",8925,461,498
4319703577,"4/20/2016",8954,523,543
4319703577,"4/21/2016",3702,59,65
4319703577,"4/22/2016",4500,533,550
4319703577,"4/23/2016",4935,692,722
4319703577,"4/24/2016",4081,467,501
4319703577,"4/25/2016",9259,488,506
4319703577,"4/26/2016",9899,505,516
4319703577,"4/27/2016",10780,286,307
4319703577,"4/28/2016",10817,497,522
4319703577,"4/29/2016",7990,523,546
4319703577,"4/30/2016",8221,490,516
4319703577,"5/1/2016",1251,484,500
4319703577,"5/2/2016",9261,478,506
4319703577,"5/3/2016",9648,474,512
4319703577,"5/6/2016",9524,450,491
4319703577,"5/7/2016",7937,507,530
4319703577,"5/8/2016",3672,602,638
4319703577,"5/9/2016",10378,535,565
4319703577,"5/10/2016",9487,487,517
4319703577,"5/11/2016",9129,529,558
4319703577,"5/12/2016",17,302,321
4388161847,"4/15/2016",8758,499,526
4388161847,"4/16/2016",6580,426,448
4388161847,"4/17/2016",4660,619,641
4388161847,"4/18/2016",11009,99,104
4388161847,"4/19/2016",10181,329,338
4388161847,"4/20/2016",10553,421,451
4388161847,"4/21/2016",10055,442,458
4388161847,"4/22/2016",12139,82,85
4388161847,"4/23/2016",13236,478,501
4388161847,"4/24/2016",10243,552,595
4388161847,"4/26/2016",9461,319,346
4388161847,"4/27/2016",11193,439,500
4388161847,"4/28/2016",10074,428,458
4388161847,"4/30/2016",12533,409,430
4388161847,"5/1/2016",10255,547,597
4388161847,"5/2/2016",10096,368,376
4388161847,"5/4/2016",12375,390,414
4388161847,"5/5/2016",9603,471,495
4388161847,"5/7/2016",22770,472,496
4388161847,"5/8/2016",17298,529,541
4388161847,"5/9/2016",10218,62,65
4388161847,"5/10/2016",10299,354,375
4388161847,"5/11/2016",10201,469,494
4445114986,"4/12/2016",3276,429,457
4445114986,"4/13/2016",2961,370,406
4445114986,"4/14/2016",3974,441,492
